Player,Hometown,High School,Class,Position,Seasons,seasons_played,lat,lon,state,country,is_illinois,is_us,is_international,has_geocode
Matt Schnaderbeck,"Des Plaines, Ill.",Maine West,,F,"['1988-89', '1989-90', '1990-91', '1991-92']",4,42.0415823,-87.8873916,IL,United States,True,True,False,True
Matt Williams,"Libertyville, Ill.",Libertyville,,G,['1991-92'],1,42.2830786,-87.9531303,IL,United States,True,True,False,True
Mike Duis,"Crescent City, Ill.",Crescent-Iroquois,,F,['1991-92'],1,40.7700351,-87.8589251,IL,United States,True,True,False,True
Scott Pierce,"Euless, Texas",Trinity,,F,"['1990-91', '1991-92']",2,32.8370727,-97.0819541,TX,United States,False,True,False,True
Tim Geers,"Chicago, Ill.",De La Salle,,F,"['1989-90', '1990-91', '1991-92']",3,41.8755616,-87.6244212,IL,United States,True,True,False,True
Tom Drynan,,,,,['1991-92'],1,,,,,False,True,False,False
Tom Sloan,,,,,"['1988-89', '1991-92']",2,,,,,False,True,False,False
Troy Fischer,,,,,"['1989-90', '1990-91', '1991-92']",3,,,,,False,True,False,False
Will Tuttle,"Mokena, Ill.",Mokena,,G,['1991-92'],1,41.5261437,-87.8892189,IL,United States,True,True,False,True
Andy Kaufmann,"Jacksonville, Ill.",Jacksonville,,F,"['1988-89', '1989-90', '1990-91', '1991-92', '1992-93']",5,39.7343697,-90.228782,IL,United States,True,True,False,True
Brad Ostendorf,,,,,"['1991-92', '1992-93']",2,,,,,False,True,False,False
Brooks Taylor,"Chicago, Ill.",De La Salle,,G,"['1989-90', '1990-91', '1991-92', '1992-93']",4,41.8755616,-87.6244212,IL,United States,True,True,False,True
Bryan Rice,,,,,['1992-93'],1,,,,,False,True,False,False
Davin Harris,"Bloomington, Ill.",Bloomington,,G,['1992-93'],1,40.4797828,-88.9939147,IL,United States,True,True,False,True
John Vivian,,,,,['1992-93'],1,,,,,False,True,False,False
Kelly O'Rourke,,,,,['1992-93'],1,,,,,False,True,False,False
Marc Davidson,"Minooka, Ill.",Aurora Christian,,F,"['1991-92', '1992-93']",2,41.4553084,-88.2617305,IL,United States,True,True,False,True
Matt Griswold,,,,,['1992-93'],1,,,,,False,True,False,False
Rennie Clemons,"Springfield, Ill.",Calvary,,G,"['1990-91', '1991-92', '1992-93']",3,39.7990175,-89.6439575,IL,United States,True,True,False,True
Brian McAleenan,,,,,"['1991-92', '1993-94']",2,,,,,False,True,False,False
Brian Thiede,,,,,['1993-94'],1,,,,,False,True,False,False
Deon Thomas,"Chicago, Ill.",Simeon,,F/C,"['1989-90', '1990-91', '1991-92', '1992-93', '1993-94']",5,41.8755616,-87.6244212,IL,United States,True,True,False,True
Gene Cross,"Olympia Fields, Ill.",Rich Central,,G,"['1990-91', '1991-92', '1992-93', '1993-94']",4,41.5164045,-87.7028957,IL,United States,True,True,False,True
Greg Phillips,,,,,['1993-94'],1,,,,,False,True,False,False
Justin Fierz,,,,,['1993-94'],1,,,,,False,True,False,False
Mike Shannon,,,,,['1993-94'],1,,,,,False,True,False,False
T.J. Wheeler,"Buckner, Ill.",Christopher,,G,"['1989-90', '1990-91', '1991-92', '1992-93', '1993-94']",5,37.9831056,-89.0161841,IL,United States,True,True,False,True
Tom Michael,"Hoffman, Ill.",Carlyle,,F,"['1989-90', '1990-91', '1991-92', '1992-93', '1993-94']",5,38.5413716,-89.263599,IL,United States,True,True,False,True
Bob Edgerton,,,,,['1994-95'],1,,,,,False,True,False,False
Derrick Thomas,,,,,"['1993-94', '1994-95']",2,,,,,False,True,False,False
John Larson,,,,,['1994-95'],1,,,,,False,True,False,False
Robert Bennett,"Chicago, Ill.",Julian,,F,"['1991-92', '1992-93', '1993-94', '1994-95']",4,41.8755616,-87.6244212,IL,United States,True,True,False,True
Robert Rodgers,,,,,['1994-95'],1,,,,,False,True,False,False
Shelly Clark,"Chicago, Ill.",South Shore,,F/C,"['1993-94', '1994-95']",2,41.8755616,-87.6244212,IL,United States,True,True,False,True
Steve Roth,"Belleville, Ill.",East,,C,"['1991-92', '1992-93', '1993-94', '1994-95']",4,38.5135805,-89.9841627,IL,United States,True,True,False,True
Brett Robisch,"Springfield, Ill.",Calvary,,C,"['1993-94', '1994-95', '1995-96']",3,39.7990175,-89.6439575,IL,United States,True,True,False,True
Brian Begley,,,,,['1995-96'],1,,,,,False,True,False,False
Dean Hill,,,,,['1995-96'],1,,,,,False,True,False,False
Ed Cisowski,,,,,['1995-96'],1,,,,,False,True,False,False
Jeff Lindenmeyer,,,,,['1995-96'],1,,,,,False,True,False,False
Joe Lambert,,,,,['1995-96'],1,,,,,False,True,False,False
John Steele,,,,,"['1993-94', '1994-95', '1995-96']",3,,,,,False,True,False,False
Karl Schulz,,,,,"['1993-94', '1994-95', '1995-96']",3,,,,,False,True,False,False
Larry Christian,,,,,['1995-96'],1,,,,,False,True,False,False
Richard Keene,"Collinsville, Ill.",Collinsville,,G,"['1992-93', '1993-94', '1994-95', '1995-96']",4,38.6703267,-89.9845476,IL,United States,True,True,False,True
Ryan Blackwell,"Pittsford, N.Y.",Pittsford-Sutherland,,F,['1995-96'],1,43.090959,-77.515298,NY,United States,False,True,False,True
Scott Brunson,,,,,['1995-96'],1,,,,,False,True,False,False
